0xef	0xf7
0x20edV0x7f4V0x139	0x210bB0x7f4B0x139
0x2107V0x7f4V0x139	0x20e6B0x7f4B0x139
0x21ebV0x7fcV0x139	0x2209B0x7fcB0x139
0x2205V0x7fcV0x139	0x21e4B0x7fcB0x139
0x241bV0x8fcV0x139	0x2439B0x8fcB0x139
0x2435V0x8fcV0x139	0x2414B0x8fcB0x139
0x418aV0x811V0x139	0x4196B0x811B0x139
0x3ac2V0x4181V0x811V0x139	0x3acaB0x4181B0x811B0x139
0x3ac6V0x4181V0x811V0x139	0x45adB0x4181B0x811B0x139
0x3768V0x893V0x139	0x3770B0x893B0x139
0x3773V0x893V0x139	0x377eB0x893B0x139
0x3793V0x893V0x139	0x379bB0x893B0x139
0x379cV0x893V0x139	0x37a7B0x893B0x139
0x37bcV0x893V0x139	0x37c4B0x893B0x139
0x37c5V0x893V0x139	0x37d0B0x893B0x139
0x37e5V0x893V0x139	0x37edB0x893B0x139
0x37eeV0x893V0x139	0x37f9B0x893B0x139
0x380eV0x893V0x139	0x3816B0x893B0x139
0x3817V0x893V0x139	0x3822B0x893B0x139
0x3837V0x893V0x139	0x383fB0x893B0x139
0x3840V0x893V0x139	0x384bB0x893B0x139
0x3851V0x893V0x139	0x385cB0x893B0x139
0x3862V0x893V0x139	0x386dB0x893B0x139
0x34a5V0x385cV0x893V0x139	0x34aeB0x385cB0x893B0x139
0x34aaV0x385cV0x893V0x139	0x45e1B0x385cB0x893B0x139
0x34cdV0x3770V0x893V0x139	0x34d6B0x3770B0x893B0x139
0x34cdV0x384bV0x893V0x139	0x34d6B0x384bB0x893B0x139
0x13faV0x239	0x1402B0x239
0x1566V0x239	0x156bB0x239
0x12bbV0x239	0x12c2B0x239
0x13cdV0x239	0x140bB0x239
0x135bV0x239	0x1379B0x239
0x140cV0x239	0x1413B0x239
0x1463V0x239	0x1471B0x239
0x1483V0x239	0x148bB0x239
0x1492V0x239	0x149fB0x239
0x14bcV0x239	0x14c8B0x239
0x14e9V0x239	0x14f2B0x239
0x14f5V0x239	0x14fdB0x239
0x150fV0x239	0x156aB0x239
0x1375V0x239	0x1354B0x239
0x4359V0x13d1V0x239	0x4361B0x13d1B0x239
0x435dV0x13d1V0x239	0x3d2fB0x13d1B0x239
0x2550V0x14c8V0x239	0x256eB0x14c8B0x239
0x256aV0x14c8V0x239	0x2549B0x14c8B0x239
0x4267V0x1413V0x239	0x4271B0x1413B0x239
0x427cV0x1413V0x239	0x4286B0x1413B0x239
0x4291V0x1413V0x239	0x429bB0x1413B0x239
0x3b05V0x4256V0x1413V0x239	0x3b0dB0x4256B0x1413B0x239
0x3afaV0x4256V0x1413V0x239	0x3b04B0x4256B0x1413B0x239
0x3b00V0x4256V0x1413V0x239	0x4625B0x4256B0x1413B0x239
0x3b05V0x4271V0x1413V0x239	0x3b0dB0x4271B0x1413B0x239
0x3afaV0x4271V0x1413V0x239	0x3b04B0x4271B0x1413B0x239
0x3b00V0x4271V0x1413V0x239	0x4625B0x4271B0x1413B0x239
0x3b05V0x4286V0x1413V0x239	0x3b0dB0x4286B0x1413B0x239
0x3afaV0x4286V0x1413V0x239	0x3b04B0x4286B0x1413B0x239
0x3b00V0x4286V0x1413V0x239	0x4625B0x4286B0x1413B0x239
0x3768V0x149fV0x239	0x3770B0x149fB0x239
0x3773V0x149fV0x239	0x377eB0x149fB0x239
0x3793V0x149fV0x239	0x379bB0x149fB0x239
0x379cV0x149fV0x239	0x37a7B0x149fB0x239
0x37bcV0x149fV0x239	0x37c4B0x149fB0x239
0x37c5V0x149fV0x239	0x37d0B0x149fB0x239
0x37e5V0x149fV0x239	0x37edB0x149fB0x239
0x37eeV0x149fV0x239	0x37f9B0x149fB0x239
0x380eV0x149fV0x239	0x3816B0x149fB0x239
0x3817V0x149fV0x239	0x3822B0x149fB0x239
0x3837V0x149fV0x239	0x383fB0x149fB0x239
0x3840V0x149fV0x239	0x384bB0x149fB0x239
0x3851V0x149fV0x239	0x385cB0x149fB0x239
0x3862V0x149fV0x239	0x386dB0x149fB0x239
0x34a5V0x385cV0x149fV0x239	0x34aeB0x385cB0x149fB0x239
0x34aaV0x385cV0x149fV0x239	0x45e1B0x385cB0x149fB0x239
0x34cdV0x3770V0x149fV0x239	0x34d6B0x3770B0x149fB0x239
0x34cdV0x384bV0x149fV0x239	0x34d6B0x384bB0x149fB0x239
0x1e15V0x369	0x1e1dB0x369
0x1cd6V0x369	0x1cddB0x369
0x1de8V0x369	0x1e26B0x369
0x1d76V0x369	0x1d94B0x369
0x1e27V0x369	0x1e2fB0x369
0x1e32V0x369	0x1e3aB0x369
0x1e4aV0x369	0x1f30B0x369
0x1e5cV0x369	0x1e63B0x369
0x1eaeV0x369	0x1eb7B0x369
0x1ec9V0x369	0x1ed1B0x369
0x1ed8V0x369	0x1ee5B0x369
0x1f02V0x369	0x1f0eB0x369
0x1d90V0x369	0x1d6fB0x369
0x1e51V0x369	0x1e59B0x369
0x4359V0x1decV0x369	0x4361B0x1decB0x369
0x435dV0x1decV0x369	0x3d2fB0x1decB0x369
0x21ebV0x1e2fV0x369	0x2209B0x1e2fB0x369
0x2205V0x1e2fV0x369	0x21e4B0x1e2fB0x369
0x241bV0x1e4eV0x369	0x2439B0x1e4eB0x369
0x2435V0x1e4eV0x369	0x2414B0x1e4eB0x369
0x418aV0x1e63V0x369	0x4196B0x1e63B0x369
0x3ac2V0x4181V0x1e63V0x369	0x3acaB0x4181B0x1e63B0x369
0x3ac6V0x4181V0x1e63V0x369	0x45adB0x4181B0x1e63B0x369
0x3768V0x1ee5V0x369	0x3770B0x1ee5B0x369
0x3773V0x1ee5V0x369	0x377eB0x1ee5B0x369
0x3793V0x1ee5V0x369	0x379bB0x1ee5B0x369
0x379cV0x1ee5V0x369	0x37a7B0x1ee5B0x369
0x37bcV0x1ee5V0x369	0x37c4B0x1ee5B0x369
0x37c5V0x1ee5V0x369	0x37d0B0x1ee5B0x369
0x37e5V0x1ee5V0x369	0x37edB0x1ee5B0x369
0x37eeV0x1ee5V0x369	0x37f9B0x1ee5B0x369
0x380eV0x1ee5V0x369	0x3816B0x1ee5B0x369
0x3817V0x1ee5V0x369	0x3822B0x1ee5B0x369
0x3837V0x1ee5V0x369	0x383fB0x1ee5B0x369
0x3840V0x1ee5V0x369	0x384bB0x1ee5B0x369
0x3851V0x1ee5V0x369	0x385cB0x1ee5B0x369
0x3862V0x1ee5V0x369	0x386dB0x1ee5B0x369
0x34a5V0x385cV0x1ee5V0x369	0x34aeB0x385cB0x1ee5B0x369
0x34aaV0x385cV0x1ee5V0x369	0x45e1B0x385cB0x1ee5B0x369
0x34cdV0x3770V0x1ee5V0x369	0x34d6B0x3770B0x1ee5B0x369
0x34cdV0x384bV0x1ee5V0x369	0x34d6B0x384bB0x1ee5B0x369
0x4155V0x142	0x415eB0x142
0x3a60V0x4144V0x142	0x3a68B0x4144B0x142
0x3a64V0x4144V0x142	0x452eB0x4144B0x142
0x3a86V0x4144V0x142	0x3a8eB0x4144B0x142
0x3a8aV0x4144V0x142	0x4574B0x4144B0x142
0x3a9dV0x4144V0x142	0x3a6bB0x4144B0x142
0x3a70V0x4144V0x142	0x3aa1B0x4144B0x142
0x3a47V0x4144V0x142	0x3a4fB0x4144B0x142
0x3a4bV0x4144V0x142	0x4546B0x4144B0x142
0x3a79V0x4144V0x142	0x3a83B0x4144B0x142
0x405aV0x3a74V0x4144V0x142	0x4066B0x3a74B0x4144B0x142
0x406dV0x3a74V0x4144V0x142	0x4079B0x3a74B0x4144B0x142
0x4080V0x3a74V0x4144V0x142	0x408cB0x3a74B0x4144B0x142
0x409bV0x3a74V0x4144V0x142	0x40a4B0x3a74B0x4144B0x142
0x40b5V0x3a74V0x4144V0x142	0x40beB0x3a74B0x4144B0x142
0x40cfV0x3a74V0x4144V0x142	0x40d8B0x3a74B0x4144B0x142
0x40e1V0x3a74V0x4144V0x142	0x40edB0x3a74B0x4144B0x142
0x3ac2V0x404eV0x3a74V0x4144V0x142	0x3acaB0x404eB0x3a74B0x4144B0x142
0x3ac6V0x404eV0x3a74V0x4144V0x142	0x45adB0x404eB0x3a74B0x4144B0x142
0x40f9V0x4066V0x3a74V0x4144V0x142	0x4101B0x4066B0x3a74B0x4144B0x142
0x40fdV0x4066V0x3a74V0x4144V0x142	0x45b7B0x4066B0x3a74B0x4144B0x142
0x3ab3V0x40d8V0x3a74V0x4144V0x142	0x3abbB0x40d8B0x3a74B0x4144B0x142
0x3ab7V0x40d8V0x3a74V0x4144V0x142	0x45a1B0x40d8B0x3a74B0x4144B0x142
0x39dbV0x4079V0x3a74V0x4144V0x142	0x39e3B0x4079B0x3a74B0x4144B0x142
0x3b5dV0x408cV0x3a74V0x4144V0x142	0x3b6dB0x408cB0x3a74B0x4144B0x142
0x3b6eV0x408cV0x3a74V0x4144V0x142	0x3b76B0x408cB0x3a74B0x4144B0x142
0x3b51V0x408cV0x3a74V0x4144V0x142	0x3b59B0x408cB0x3a74B0x4144B0x142
0x3b55V0x408cV0x3a74V0x4144V0x142	0x4551B0x408cB0x3a74B0x4144B0x142
0x4657V0x3b59V0x408cV0x3a74V0x4144V0x142	0x4661B0x3b59B0x408cB0x3a74B0x4144B0x142
0x463cV0x3b59V0x408cV0x3a74V0x4144V0x142	0x4652B0x3b59B0x408cB0x3a74B0x4144B0x142
0x464eV0x3b59V0x408cV0x3a74V0x4144V0x142	0x4637B0x3b59B0x408cB0x3a74B0x4144B0x142
0x3b5dV0x40a4V0x3a74V0x4144V0x142	0x3b6dB0x40a4B0x3a74B0x4144B0x142
0x3b6eV0x40a4V0x3a74V0x4144V0x142	0x3b76B0x40a4B0x3a74B0x4144B0x142
0x3b51V0x40a4V0x3a74V0x4144V0x142	0x3b59B0x40a4B0x3a74B0x4144B0x142
0x3b55V0x40a4V0x3a74V0x4144V0x142	0x4551B0x40a4B0x3a74B0x4144B0x142
0x4657V0x3b59V0x40a4V0x3a74V0x4144V0x142	0x4661B0x3b59B0x40a4B0x3a74B0x4144B0x142
0x463cV0x3b59V0x40a4V0x3a74V0x4144V0x142	0x4652B0x3b59B0x40a4B0x3a74B0x4144B0x142
0x464eV0x3b59V0x40a4V0x3a74V0x4144V0x142	0x4637B0x3b59B0x40a4B0x3a74B0x4144B0x142
0x3b5dV0x40beV0x3a74V0x4144V0x142	0x3b6dB0x40beB0x3a74B0x4144B0x142
0x3b6eV0x40beV0x3a74V0x4144V0x142	0x3b76B0x40beB0x3a74B0x4144B0x142
0x3b51V0x40beV0x3a74V0x4144V0x142	0x3b59B0x40beB0x3a74B0x4144B0x142
0x3b55V0x40beV0x3a74V0x4144V0x142	0x4551B0x40beB0x3a74B0x4144B0x142
0x4657V0x3b59V0x40beV0x3a74V0x4144V0x142	0x4661B0x3b59B0x40beB0x3a74B0x4144B0x142
0x463cV0x3b59V0x40beV0x3a74V0x4144V0x142	0x4652B0x3b59B0x40beB0x3a74B0x4144B0x142
0x464eV0x3b59V0x40beV0x3a74V0x4144V0x142	0x4637B0x3b59B0x40beB0x3a74B0x4144B0x142
0x1865V0x2fd	0x1876B0x2fd
0x1868V0x2fd	0x1871B0x2fd
0x2550V0x1858V0x2fd	0x256eB0x1858B0x2fd
0x256aV0x1858V0x2fd	0x2549B0x1858B0x2fd
0x1e15V0x1871V0x2fd	0x1e1dB0x1871B0x2fd
0x1cd6V0x1871V0x2fd	0x1cddB0x1871B0x2fd
0x1de8V0x1871V0x2fd	0x1e26B0x1871B0x2fd
0x1d76V0x1871V0x2fd	0x1d94B0x1871B0x2fd
0x1e27V0x1871V0x2fd	0x1e2fB0x1871B0x2fd
0x1e32V0x1871V0x2fd	0x1e3aB0x1871B0x2fd
0x1e4aV0x1871V0x2fd	0x1f30B0x1871B0x2fd
0x1e5cV0x1871V0x2fd	0x1e63B0x1871B0x2fd
0x1eaeV0x1871V0x2fd	0x1eb7B0x1871B0x2fd
0x1ec9V0x1871V0x2fd	0x1ed1B0x1871B0x2fd
0x1ed8V0x1871V0x2fd	0x1ee5B0x1871B0x2fd
0x1f02V0x1871V0x2fd	0x1f0eB0x1871B0x2fd
0x1d90V0x1871V0x2fd	0x1d6fB0x1871B0x2fd
0x1e51V0x1871V0x2fd	0x1e59B0x1871B0x2fd
0x4359V0x1decV0x1871V0x2fd	0x4361B0x1decB0x1871B0x2fd
0x435dV0x1decV0x1871V0x2fd	0x3d2fB0x1decB0x1871B0x2fd
0x21ebV0x1e2fV0x1871V0x2fd	0x2209B0x1e2fB0x1871B0x2fd
0x2205V0x1e2fV0x1871V0x2fd	0x21e4B0x1e2fB0x1871B0x2fd
0x241bV0x1e4eV0x1871V0x2fd	0x2439B0x1e4eB0x1871B0x2fd
0x2435V0x1e4eV0x1871V0x2fd	0x2414B0x1e4eB0x1871B0x2fd
0x418aV0x1e63V0x1871V0x2fd	0x4196B0x1e63B0x1871B0x2fd
0x3ac2V0x4181V0x1e63V0x1871V0x2fd	0x3acaB0x4181B0x1e63B0x1871B0x2fd
0x3ac6V0x4181V0x1e63V0x1871V0x2fd	0x45adB0x4181B0x1e63B0x1871B0x2fd
0x3768V0x1ee5V0x1871V0x2fd	0x3770B0x1ee5B0x1871B0x2fd
0x3773V0x1ee5V0x1871V0x2fd	0x377eB0x1ee5B0x1871B0x2fd
0x3793V0x1ee5V0x1871V0x2fd	0x379bB0x1ee5B0x1871B0x2fd
0x379cV0x1ee5V0x1871V0x2fd	0x37a7B0x1ee5B0x1871B0x2fd
0x37bcV0x1ee5V0x1871V0x2fd	0x37c4B0x1ee5B0x1871B0x2fd
0x37c5V0x1ee5V0x1871V0x2fd	0x37d0B0x1ee5B0x1871B0x2fd
0x37e5V0x1ee5V0x1871V0x2fd	0x37edB0x1ee5B0x1871B0x2fd
0x37eeV0x1ee5V0x1871V0x2fd	0x37f9B0x1ee5B0x1871B0x2fd
0x380eV0x1ee5V0x1871V0x2fd	0x3816B0x1ee5B0x1871B0x2fd
0x3817V0x1ee5V0x1871V0x2fd	0x3822B0x1ee5B0x1871B0x2fd
0x3837V0x1ee5V0x1871V0x2fd	0x383fB0x1ee5B0x1871B0x2fd
0x3840V0x1ee5V0x1871V0x2fd	0x384bB0x1ee5B0x1871B0x2fd
0x3851V0x1ee5V0x1871V0x2fd	0x385cB0x1ee5B0x1871B0x2fd
0x3862V0x1ee5V0x1871V0x2fd	0x386dB0x1ee5B0x1871B0x2fd
0x34a5V0x385cV0x1ee5V0x1871V0x2fd	0x34aeB0x385cB0x1ee5B0x1871B0x2fd
0x34aaV0x385cV0x1ee5V0x1871V0x2fd	0x45e1B0x385cB0x1ee5B0x1871B0x2fd
0x34cdV0x3770V0x1ee5V0x1871V0x2fd	0x34d6B0x3770B0x1ee5B0x1871B0x2fd
0x34cdV0x384bV0x1ee5V0x1871V0x2fd	0x34d6B0x384bB0x1ee5B0x1871B0x2fd
