0x11f2	0x11f4
0x11f5	0x11f7
0x11f7	0x11f9
0x1204	0x1206
0x1206	0x1209
0x120b	0x120d
0x120d	0x1210
0x1210	0x1211
0x1212	0x1216
0x1216	0x1219
0x1219	0x121a
0x121a	0x121d
0x121d	0x121e
0x121e	0x1221
0x1223	0x1225
0x1225	0x1226
0x1226	0x1228
0x1228	0x1229
0x1229	0x122d
0x122d	0x122e
0x122e	0x1230
0x1230	0x1235
0x138b	0x138f
0x1390	0x1394
0x1394	0x1395
0x1396	0x13b7
0x13b7	0x13ba
0x13ba	0x13bb
0x13bc	0x13cd
0x13cd	0x13cf
0x13cf	0x13d0
0x13d0	0x13d3
0x13d3	0x13d4
0x13d5	0x13d7
0x13d7	0x13d9
0x142d	0x1430
0x1430	0x1431
0x1432	0x1434
0x1434	0x1436
0x14cf	0x14d2
0x14f3	0x14f6
0x1517	0x151a
0x153b	0x153e
0x160b	0x160d
0x160d	0x1610
0x1610	0x1612
0x167c	0x167e
0x167e	0x1681
0x1681	0x1683
0x16a4	0x16a7
0x16c8	0x16ca
0x16ca	0x16cd
0x16cd	0x16cf
0x1732	0x1734
0x1734	0x1737
0x1737	0x1739
0x175a	0x175c
0x175c	0x175f
0x175f	0x1761
0x183c	0x183e
0x183e	0x1841
0x1841	0x1843
0x1ae3	0x1ae5
0x1ae5	0x1ae8
0x1ae8	0x1aea
0x1c11	0x1c12
0x1c13	0x1c14
0x1c15	0x1c16
0x1c17	0x1c18
0x1c19	0x1c1a
0x1c1b	0x1c1c
0x1c1d	0x1c1e
0x1c1f	0x1c20
0x1c21	0x1c22
0x1c23	0x1c24
0x1c25	0x1c26
0x1c27	0x1c28
0x1c29	0x1c2a
0x1c2b	0x1c2c
0x1c2d	0x1c2e
0x1c2f	0x1c30
0x1c31	0x1c32
0x1c34	0x1c35
0x1c37	0x1c38
0x1c3a	0x1c3b
0x1c3d	0x1c3e
0x1c40	0x1c41
0x1c43	0x1c44
0x1c46	0x1c47
0x1c49	0x1c4a
0x1c4c	0x1c4d
0x1c4f	0x1c50
0x1c52	0x1c53
0x1c55	0x1c56
0x1c58	0x1c59
0x1c5b	0x1c5c
0x1c5e	0x1c5f
0x1c61	0x1c62
0x1c67	0x282
0x1c6c	0x52a
0x1c76	0xa69
0x1c78	0x1c79
0x287	0x289
0x52f	0x531
0x16a7	0x16c8
0xbea0xc8e	0xbed0xc8e
0x1cb0x1b4	0x1d00x1b4
0x1cb0x21c	0x1d00x21c
0x1310x11a	0x1360x11a
0x1310x214	0x1360x214
0x1310x242	0x1360x242
0x1310x268	0x1360x268
0x16590x1b4	0x165b0x1b4
0x16590x21c	0x165b0x21c
0x16560x1b4	0x16590x1b4
0x16560x21c	0x16590x21c
0x16540x1b4	0x16560x1b4
0x16540x21c	0x16560x21c
0x15850x11a	0x15870x11a
0x15850x214	0x15870x214
0x15850x242	0x15870x242
0x15850x268	0x15870x268
0x15820x11a	0x15850x11a
0x15820x214	0x15850x214
0x15820x242	0x15850x242
0x15820x268	0x15850x268
0x15800x11a	0x15820x11a
0x15800x214	0x15820x214
0x15800x242	0x15820x242
0x15800x268	0x15820x268
0xbf60xc8e	0xbf80xc8e
0xbf50xc8e	0xbf60xc8e
0xbf20xc8e	0xbf50xc8e
0xbf10xc8e	0xbf20xc8e
0xbee0xc8e	0xbf10xc8e
0xbe90xc8e	0xbea0xc8e
0x1d00x1b4	0x1d30x1b4
0x1d00x21c	0x1d30x21c
0x1ca0x1b4	0x1cb0x1b4
0x1ca0x21c	0x1cb0x21c
0x1c80x1b4	0x1ca0x1b4
0x1c80x21c	0x1ca0x21c
0x1360x11a	0x1390x11a
0x1360x214	0x1390x214
0x1360x242	0x1390x242
0x1360x268	0x1390x268
0x1300x11a	0x1310x11a
0x1300x214	0x1310x214
0x1300x242	0x1310x242
0x1300x268	0x1310x268
0x12e0x11a	0x1300x11a
0x12e0x214	0x1300x214
0x12e0x242	0x1300x242
0x12e0x268	0x1300x268
0x12c8S0x28d	0x12ccS0x28d
0x12cdS0x28d	0x12d1S0x28d
0x12d1S0x28d	0x12d2S0x28d
0x12d3S0x28d	0x12dfS0x28d
0x12dfS0x28d	0x12e1S0x28d
0x12e1S0x28d	0x12e2S0x28d
0x12e2S0x28d	0x12e5S0x28d
0x12e5S0x28d	0x12e6S0x28d
0x12e7S0x28d	0x12e9S0x28d
0x12e9S0x28d	0x12ebS0x28d
0x12c8S0x535	0x12ccS0x535
0x12cdS0x535	0x12d1S0x535
0x12d1S0x535	0x12d2S0x535
0x12d3S0x535	0x12dfS0x535
0x12dfS0x535	0x12e1S0x535
0x12e1S0x535	0x12e2S0x535
0x12e2S0x535	0x12e5S0x535
0x12e5S0x535	0x12e6S0x535
0x12e7S0x535	0x12e9S0x535
0x12e9S0x535	0x12ebS0x535
0xa6dS0xa8e	0xa6fS0xa8e
0xa6dS0xaf7	0xa6fS0xaf7
0x133dS0xcba	0x1341S0xcba
0x1342S0xcba	0x1346S0xcba
0x1346S0xcba	0x1347S0xcba
0x1348S0xcba	0x1369S0xcba
0x1369S0xcba	0x136cS0xcba
0x136cS0xcba	0x136dS0xcba
0x136eS0xcba	0x137dS0xcba
0x137dS0xcba	0x137fS0xcba
0x137fS0xcba	0x1380S0xcba
0x1380S0xcba	0x1383S0xcba
0x1383S0xcba	0x1384S0xcba
0x1385S0xcba	0x1387S0xcba
0x1387S0xcba	0x1389S0xcba
0x8a1S0x22a	0x8a5S0x22a
0x8a6S0x22a	0x8abS0x22a
0x8abS0x22a	0x8acS0x22a
0x8acS0x22a	0x8afS0x22a
0x8afS0x22a	0x8b0S0x22a
0x8b0S0x22a	0x8b3S0x22a
0x8b3S0x22a	0x8b5S0x22a
0x8b6S0x22a	0x8b9S0x22a
0x8b9S0x22a	0x8bcS0x22a
0x8bcS0x22a	0x8beS0x22a
0x8beS0x22a	0x8bfS0x22a
0x8bfS0x22a	0x8c1S0x22a
0x8c1S0x22a	0x8c3S0x22a
0x8c3S0x22a	0x8c5S0x22a
0x8c5S0x22a	0x8c6S0x22a
0x8c6S0x22a	0x8c9S0x22a
0x8c9S0x22a	0x8cbS0x22a
0x8ccS0x22a	0x8d0S0x22a
0x8d0S0x22a	0x8d1S0x22a
0x8d1S0x22a	0x8d4S0x22a
0x8d4S0x22a	0x8d7S0x22a
0x8d7S0x22a	0x8d8S0x22a
0x8d9S0x22a	0x8dcS0x22a
0x8dcS0x22a	0x8ddS0x22a
0x8ddS0x22a	0x8e0S0x22a
0x8e0S0x22a	0x8e4S0x22a
0x8e5S0x22a	0x8e8S0x22a
0x8e8S0x22a	0x8e9S0x22a
0x8e9S0x22a	0x8eaS0x22a
0x8eaS0x22a	0x8edS0x22a
0x8edS0x22a	0x8eeS0x22a
0x8efS0x22a	0x8f2S0x22a
0x8f2S0x22a	0x8f3S0x22a
0x8f3S0x22a	0x8f4S0x22a
